block_id,log,label,cause,raisonnement
blk_5402003568334525940,081109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les logs HDFS avec le niveau d'information INFO.
blk_5792489080791696128,081109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Normal,Réception d'un bloc de données,Étape 1 : Le DataNode reçoit un bloc de données. Étape 2 : Le bloc est reçu depuis l'adresse IP 10.251.30.6 sur le port 33145. Étape 3 : Le bloc est ensuite transmis à l'adresse IP 10.251.30.6 sur le port 50010
blk_1724757848743533110,081109 204842 663 INFO dfs.DataNode$DataXceiver: Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit une demande de transfert de données. Étape 2 : Le bloc de données est identifié par son ID unique blk_1724757848743533110. Étape 3 : Les données sont transférées depuis le client source /10.251.111.130:49851 vers le nœud de données destination /10.251.111.130:50010
blk_8015913224713045110,081109 204908 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter l'ajout du bloc. Étape 3 : Le bloc est ajouté avec succès au système de fichiers HDFS.
blk_-5623176793330377570,081109 204925 673 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Normal,Réception d'un bloc de données,Étape 1 : Le DataNode reçoit une demande de transfert de données. Étape 2 : Le bloc de données est identifié par son ID unique. Étape 3 : Les données sont transférées depuis le client vers le DataNode
blk_-1727475099218615100,081109 205035 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,Normal,Allocation de bloc dans HDFS,"Étape 1 : Le système de fichiers HDFS reçoit une demande d'écriture de données. Étape 2 : Le NameSystem de HDFS alloue un nouveau bloc pour stocker les données. Étape 3 : Le bloc est créé avec un identifiant unique, comme indiqué dans le log."
blk_5017373558217225674,081109 205056 710 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_5017373558217225674 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le nœud de données a terminé le traitement d'un bloc. Étape 2 : Le bloc a été traité avec succès. Étape 3 : Le processus PacketResponder est arrêté
blk_9212264480425680329,081109 205157 752 INFO dfs.DataNode$PacketResponder: Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec l'ID blk_9212264480425680329. Étape 3 : La taille du bloc est de 67108864 octets
blk_-7878121102358435702,081109 205315 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,Normal,Allocation de bloc dans HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'écriture de données. Étape 2 : Le NameSystem de HDFS recherche un bloc disponible pour stocker les données. Étape 3 : Un bloc est alloué avec un identifiant unique pour stocker les données temporaires de la tâche MapReduce.
blk_4568434182693165548,081109 205409 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,Normal,Ajout d'un bloc de données dans HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter l'ajout du nouveau bloc. Étape 3 : Le bloc est ajouté avec succès et son emplacement est enregistré dans le système de fichiers.
blk_-5704899712662113150,081109 205412 832 INFO dfs.DataNode$PacketResponder: Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_-4794867979917102672,081109 205632 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le nouvel emplacement du bloc. Étape 3 : Le bloc est ajouté avec succès et le système enregistre l'événement comme une opération normale.
blk_8763662564934652249,081109 205739 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,Normal,Ajout d'un bloc de données dans HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout de bloc. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le changement. Étape 3 : Le bloc est ajouté avec succès au nœud de données spécifié.
blk_-5861636720645142679,081109 205742 1001 INFO dfs.DataNode$PacketResponder: Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux attentes.
blk_7453815855294711849,081109 205746 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,Normal,Un nouveau bloc de données a été ajouté au système de fichiers HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le système a mis à jour la carte de blocs pour refléter les changements
blk_-28342503914935090,081109 205749 997 INFO dfs.DataNode$DataXceiver: Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit une demande de transfert de données. Étape 2 : Le nœud de données vérifie la source et la destination du transfert. Étape 3 : Le transfert de données est effectué avec succès.
blk_8291449241650212794,081109 205754 952 INFO dfs.DataNode$PacketResponder: Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_-5319073033164653435,081109 205858 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,Normal,Allocation de bloc pour un fichier temporaire,"Étape 1 : Le système de fichiers HDFS reçoit une demande d'écriture de données. Étape 2 : Le NameSystem est sollicité pour allouer un nouveau bloc pour stocker les données. Étape 3 : Le bloc est alloué avec un identifiant unique, comme indiqué dans le log."
blk_-4980916519894289629,081109 205931 13 INFO dfs.DataBlockScanner: Verification succeeded for blk_-4980916519894289629,Normal,La vérification du bloc de données a réussi,Étape 1 : Le système HDFS a lancé une vérification du bloc de données. Étape 2 : La vérification a été effectuée avec succès sans erreur. Étape 3 : Le système a enregistré le résultat avec le label Normal.
blk_-5974833545991408899,081109 210022 1110 INFO dfs.DataNode$PacketResponder: Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux attentes.
blk_-5009020203888190378,081109 210037 1084 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit une demande de transfert de données. Étape 2 : Le nœud de données vérifie la source et la destination du transfert. Étape 3 : Le transfert de données est effectué avec succès.
blk_6921674711959888070,081109 210248 1138 INFO dfs.DataNode$PacketResponder: Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux avec le niveau d'information INFO.
blk_5165786360127153975,081109 210407 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le nouvel emplacement du bloc. Étape 3 : Le bloc est ajouté avec succès au système de fichiers HDFS.
blk_2937758977269298350,081109 210458 1278 INFO dfs.DataNode$DataXceiver: Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit une demande de transfert de données. Étape 2 : Le nœud de données vérifie la disponibilité de l'espace de stockage. Étape 3 : Le transfert de données est effectué avec succès
blk_673825774073966710,081109 210551 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter l'ajout du bloc. Étape 3 : Le bloc est ajouté avec succès et la mise à jour est enregistrée dans les logs.
blk_-7526945448667194862,081109 210637 1283 INFO dfs.DataNode$PacketResponder: Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_-2094397855762091248,081109 210656 1334 INFO dfs.DataNode$PacketResponder: Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux attentes.
blk_-8523968015014407246,081109 210712 1333 INFO dfs.DataNode$PacketResponder: Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer de son intégrité.
blk_8181993091797661153,081109 210743 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,Anomaly,Ajout d'un bloc de données dans HDFS,Étape 1 : Le système HDFS reçoit une demande d'ajout de bloc. Étape 2 : Le NameSystem met à jour la carte de blocs. Étape 3 : Le bloc est ajouté avec succès au nœud de données spécifié.
blk_-6276023454199613372,081109 210801 1357 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est reçu à partir de l'adresse source /10.251.65.237:34085. Étape 3 : Le bloc est ensuite transmis à la destination /10.251.65.237:50010
blk_4755566011267050000,081109 210807 1408 INFO dfs.DataNode$PacketResponder: Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_-3909548841543565741,081109 210812 1395 INFO dfs.DataNode$PacketResponder: Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer de son intégrité.
blk_-6809181994368905854,081109 210921 1452 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit une demande de transfert de données. Étape 2 : Le nœud de données identifie la source et la destination du bloc de données. Étape 3 : Le transfert de données est effectué de la source à la destination
blk_8829027411458566099,081109 210935 1458 INFO dfs.DataNode$PacketResponder: Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux attentes.
blk_-29548654251973735,081109 211029 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,Normal,Ajout d'un bloc de données dans HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le système a mis à jour la liste des blocs de données disponibles
blk_-5073870177832699716,081109 211038 1490 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-5073870177832699716 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le nœud de données a terminé le traitement d'un bloc. Étape 2 : Le bloc a été traité avec succès ou n'est plus nécessaire. Étape 3 : Le processus PacketResponder est arrêté pour libérer les ressources système.
blk_-8241093737585222406,081109 211216 1504 INFO dfs.DataNode$PacketResponder: Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : L'opération est enregistrée dans les journaux avec le niveau d'information INFO.
blk_-2480595760294717232,081109 211301 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le nouvel emplacement du bloc. Étape 3 : Le bloc est ajouté avec succès et le système enregistre l'événement avec le label Normal.
blk_7791237942696729620,081109 211353 1574 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_7791237942696729620 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le DataNode a terminé le traitement d'un bloc de données. Étape 2 : Le PacketResponder a été notifié pour arrêter son traitement. Étape 3 : Le PacketResponder a terminé son exécution pour le bloc spécifié.
blk_2113880130496815041,081109 211403 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS a détecté un nouveau bloc de données. Étape 2 : Le bloc a été ajouté à la carte de blocs. Étape 3 : Le système a mis à jour la carte de blocs pour refléter les changements
blk_1064470652608359218,081109 211453 1623 INFO dfs.DataNode$PacketResponder: Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le label Normal.
blk_-1661553043410372067,081109 211528 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter l'ajout du nouveau bloc. Étape 3 : Le bloc est ajouté avec succès et le système enregistre l'événement avec le label Normal.
blk_-1527267659500322006,081109 211617 1635 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-1527267659500322006 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le nœud de données a terminé le traitement d'un bloc. Étape 2 : Le bloc a été traité avec succès ou n'est plus nécessaire. Étape 3 : Le PacketResponder est arrêté pour libérer les ressources système.
blk_4886940526690879848,081109 211918 1777 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_4886940526690879848 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le nœud de données a terminé le traitement d'un bloc de données. Étape 2 : Le processus PacketResponder a été arrêté. Étape 3 : L'événement a été enregistré avec le niveau de log INFO.
blk_-2452477352812192142,081109 212029 1814 INFO dfs.DataNode$PacketResponder: Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer de son intégrité.
blk_-4229375751333894621,081109 212219 1885 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-4229375751333894621 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le DataNode a terminé le traitement d'un bloc de données. Étape 2 : Le PacketResponder a été notifié pour arrêter son traitement. Étape 3 : Le PacketResponder a terminé son exécution pour le bloc spécifié.
blk_-774267833966018354,081109 212220 1946 INFO dfs.DataNode$DataXceiver: Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,Normal,Réception d'un bloc de données,Étape 1 : Le DataNode reçoit une demande de transfert de données. Étape 2 : Le bloc de données est identifié par son ID unique blk_-774267833966018354. Étape 3 : Les données sont transférées de la source /10.251.38.53:51057 vers la destination /10.251.38.53:50010
blk_2513940824125131775,081109 212245 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,Normal,Allocation de bloc dans HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'écriture de données. Étape 2 : Le NameSystem de HDFS recherche un bloc disponible pour stocker les données. Étape 3 : Un bloc est alloué avec l'ID blk_2513940824125131775 pour stocker les données dans le répertoire /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0
blk_-1282453782148343691,081109 212317 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,Normal,Allocation de bloc dans HDFS,"Étape 1 : Le système de fichiers HDFS (Hadoop Distributed File System) alloue un bloc pour stocker des données. Étape 2 : Le processus d'allocation de bloc est géré par le NameSystem. Étape 3 : Le bloc alloué est identifié par un ID unique, dans ce cas blk_-1282453782148343691."
blk_-518701095493827363,081109 212338 2007 INFO dfs.DataNode$PacketResponder: Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux attentes.
blk_-2530087534157630851,081109 212403 35 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,Normal,Le bloc de données a été ajouté avec succès,Étape 1 : Le système de fichiers HDFS a reçu une demande d'ajout de bloc. Étape 2 : Le système a vérifié la disponibilité de l'espace de stockage. Étape 3 : Le bloc a été ajouté avec succès au système de fichiers
blk_427714267500527780,081109 212440 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,Normal,Ajout d'un bloc de données à HDFS,Étape 1 : Le système de fichiers HDFS reçoit une demande d'ajout d'un bloc de données. Étape 2 : Le NameSystem met à jour la carte de blocs pour refléter le nouvel emplacement du bloc. Étape 3 : Le bloc est ajouté avec succès au système de fichiers HDFS.
blk_-967145856473901804,081109 212703 2053 INFO dfs.DataNode$PacketResponder: Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer de son intégrité.
blk_8408125361497769001,081109 212904 2174 INFO dfs.DataNode$PacketResponder: Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,Anomaly,Transfert de données anormalement grand,Étape 1 : Analyse du log HDFS pour identifier les transferts de données. Étape 2 : Vérification de la taille du bloc reçu (67108864) pour déterminer si elle est anormalement grande. Étape 3 : Comparaison avec les transferts de données habituels pour confirmer l'anomalie.
blk_-1614641487214609125,081109 212931 2211 INFO dfs.DataNode$PacketResponder: Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_7577595658377008671,081109 213009 2207 INFO dfs.DataNode$PacketResponder: Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les logs HDFS
blk_3777400576053320362,081109 213028 2206 INFO dfs.DataNode$PacketResponder: Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec succès. Étape 3 : L'événement est enregistré dans les journaux HDFS avec le niveau d'information INFO.
blk_-5852844080027817147,081109 213217 2267 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-5852844080027817147 terminating,Normal,Fin de traitement d'un bloc de données,Étape 1 : Le DataNode a terminé le traitement d'un bloc de données. Étape 2 : Le PacketResponder a été arrêté pour libérer les ressources. Étape 3 : Le message d'information est généré pour indiquer la fin du traitement du bloc.
blk_-2129171714384027465,081109 213353 2313 INFO dfs.DataNode$PacketResponder: Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données HDFS reçoit un bloc de données. Étape 2 : Le bloc est enregistré avec un identifiant unique. Étape 3 : La taille du bloc est vérifiée pour s'assurer qu'elle correspond aux exigences du système.
blk_-2827716238972737794,081109 213436 13 INFO dfs.DataBlockScanner: Verification succeeded for blk_-2827716238972737794,Normal,La vérification du bloc de données a réussi,Étape 1 : Le système HDFS a lancé une vérification du bloc de données. Étape 2 : La vérification a été effectuée avec succès. Étape 3 : Le résultat a été enregistré dans les logs HDFS avec le label Normal.
blk_-3509323198988774369,081109 213506 2421 INFO dfs.DataNode$DataXceiver: Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,Normal,Réception d'un bloc de données,Étape 1 : Le nœud de données reçoit une demande de transfert de données. Étape 2 : Le nœud de données vérifie la source et la destination du transfert. Étape 3 : Le transfert de données est effectué avec succès
